culture,count,mean_age,std_age,ci_95,pi_95,ci_lower,ci_upper,pi_lower,pi_upper
"German, Höchst",90,211.77777777777777,27.389728976994423,5.6587766333850436,53.68386879490907,206.11900114439274,217.4365544111628,158.0939089828687,265.46164657268685
North China,90,2252.0333333333333,252.60314168871884,52.18834976090478,495.1021577098889,2199.8449835724286,2304.221683094238,1756.9311756234445,2747.1354910432224
"German, Nymphenburg",90,179.2888888888889,55.06446568136328,11.376436473294522,107.92635273547202,167.91245241559437,190.6653253621834,71.36253615341687,287.21524162436094
"British, Birmingham",89,131.2134831460674,59.89716033451766,12.444209142705992,117.3984342556546,118.76927400336142,143.6576922887734,13.815048890412797,248.611917401722
"German, Berlin",89,162.8876404494382,52.007306786085195,10.805016447865775,101.93432130072698,152.08262400157244,173.69265689730398,60.95331914871123,264.8219617501652
Burmese,88,87.7159090909091,78.09571917324945,16.317062006602495,153.0676095795689,71.3988470843066,104.03297109751159,-65.35170048865982,240.783518670478
Philippine,88,140.07954545454547,75.95858242140366,15.87053570188794,148.87882154595118,124.20900975265752,155.9500811564334,-8.799276091405716,288.95836700049665
"British, Sheffield",88,144.27272727272728,41.725905642321194,8.718073114058896,81.78277505894954,135.55465415866837,152.9908003867862,62.48995221377774,226.05550233167682
Neo-Sumerian,87,4001.655172413793,51.111785285072,10.740326793684474,100.17909915874112,3990.9148456201087,4012.3954992074773,3901.4760732550517,4101.834271572534
Unknown fabric,87,2663.8735632183907,61.16900047042292,12.85369022097652,119.89124092202893,2651.019872997414,2676.7272534393674,2543.982322296362,2783.7648041404195
"British, Buckinghamshire",86,110.5813953488372,19.305875433799685,4.0803399308076385,37.83951585024738,106.50105541802957,114.66173527964484,72.74187949858982,148.42091119908457
"Spanish, Seville",85,397.08235294117645,32.108896469561316,6.826089658969893,62.93343708034018,390.25626328220653,403.9084426001464,334.14891586083627,460.01579002151664
"French, Chantilly",85,167.85882352941175,66.21324729725207,14.076396648855733,129.77796470261404,153.78242688055602,181.93522017826749,38.08085882679771,297.63678823202576
Baule peoples,84,170.0952380952381,29.755881892014905,6.3634004532151245,58.32152850834921,163.73183764202298,176.45863854845322,111.77370958688888,228.41676660358732
"American, Shaker",84,155.1904761904762,28.982535742818712,6.198017647417397,56.805770055924675,148.9924585430588,161.3884938378936,98.38470613455152,211.9962462464009
Maya,84,1464.2738095238096,370.0280794031157,79.1318118791157,725.2550356301068,1385.141997644694,1543.4056214029254,739.0187738937028,2189.5288451539163
Lydian,84,2515.690476190476,73.51665268126189,15.721795868410839,144.0926392552733,2499.968680322065,2531.412272058887,2371.597836935203,2659.7831154457494
Chimú or Chancay,83,896.277108433735,101.4579467434194,21.827454630955092,198.85757561710201,874.4496538027798,918.1045630646901,697.4195328166329,1095.134684050837
Northern Italian,82,395.4756097560976,107.43257726142016,23.253329175979673,210.56785143238352,372.2222805801179,418.72893893207726,184.90775832371406,606.0434611884812
"British, Derby",81,170.92592592592592,49.54638679504737,10.790102013143649,97.11091811829284,160.13582391278229,181.71602793906956,73.81500780763308,268.03684404421875
Kwoma,80,9.0375,19.30464871540833,4.230317667321888,37.83711148220033,4.807182332678112,13.267817667321887,-28.799611482200326,46.87461148220033
Mycenaean,80,3291.7875,79.38843676761539,17.396758241503502,155.60133606452615,3274.3907417584965,3309.1842582415034,3136.186163935474,3447.388836064526
"French, Versailles",79,226.9493670886076,19.657906828458092,4.334907133524936,38.52949738377786,222.61445995508268,231.28427422213252,188.41986970482975,265.47886447238545
"Greek, South Italian, Campanian",78,2583.2051282051284,1276.4783673494128,283.28411942669726,2501.897600004849,2299.9210087784313,2866.4892476318255,81.3075282002792,5085.102728209978
Ica,77,870.961038961039,49.788616739181776,11.120921350861263,97.58568880879628,859.8401176101777,882.0819603119003,773.3753501522427,968.5467277698352
Crusader,77,726.6233766233767,4.9498510372003635,1.1056122400738329,9.701708032912713,725.5177643833028,727.7289888634505,716.9216685904639,736.3250846562894
Bamana peoples,77,199.15584415584416,87.7520527477795,19.60053805264087,171.9940233856478,179.5553061032033,218.75638220848504,27.161820770196357,371.149867541492
"Indonesia (Java, Lumajang, Pasiran)",76,2502.6710526315787,3.7072475248865273,0.8334908933304329,7.266205148777593,2501.8375617382485,2503.504543524909,2495.404847482801,2509.9372577803565
